shopId,shopName,shop_location,shop_rating,shop_response_rate,shop_response_time,shop_follower_count,shop_item_count,shop_rating_good,shop_rating_normal,shop_rating_bad,is_official_shop,is_shopee_verified,positive_rating_pct,response_time_bucket,listing_count,avg_price_twd,avg_discount_pct,avg_product_rating,total_ratings,total_comments,total_likes,free_shipping_count,discounted_count,shopee_fulfilled_count,avg_models_count,free_shipping_rate,discount_rate,shopee_fulfilled_rate,total_engagement_score,shop_tier,follower_tier
1515554242,淘趣 ||生活館💕💕 歡迎光臨 居家百貨,海外,5.0,75.0,22497,8,987,6,0,0,false,false,100.0,3. 6-24 hours,1,538.0,35.0,0.0,0,0,0,0,1,0,40.0,0.0,100.0,0.0,0,3. Established,4. < 100
1516189056,korea vibes,海外,4.965008735656738,94.0,6902,292,124,1132,4,0,false,true,99.65,2. 1-6 hours,1,220.0,51.0,4.55,11,0,0,0,1,0,6.0,0.0,100.0,0.0,11,3. Established,3. 100-999
1516267793,TOP居家生活舘,桃園市蘆竹區,4.921875,91.0,7724,1085,979,100,1,0,false,false,99.01,2. 1-6 hours,2,215.5,50.0,0.0,0,0,0,0,2,0,19.0,0.0,100.0,0.0,0,2. Power Seller,"2. 1,000-9.999"
1516409012,許老闆泳裝,,5.0,43.0,16809,44,143,22,0,0,false,false,100.0,2. 1-6 hours,1,933.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,3. Established,4. < 100
1516929073,widgo123of,海外,5.0,57.0,0,2,100,2,0,0,false,false,100.0,1. Under 1 hour,1,878.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,3. Established,4. < 100
1517325270,"台灣NO.1の""✨百貨用品 佛心价本铺 ✨跪着省钱!",海外,4.865800857543945,100.0,5065,127,1000,464,10,7,false,false,96.47,2. 1-6 hours,1,111.0,61.0,0.0,0,0,0,0,1,0,20.0,0.0,100.0,0.0,0,3. Established,3. 100-999
1517441004,13194u9kmg,臺中市西屯區,4.977679252624512,69.0,4095,20,36,233,1,0,false,false,99.57,2. 1-6 hours,1,25.0,0.0,0.0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0,3. Established,4. < 100
1518429061,ij_y6euiin女神的衣櫥,桃園市蘆竹區,4.843143939971924,70.0,12616,17839,4483,2763,100,17,false,false,95.94,2. 1-6 hours,1,339.0,53.0,0.0,0,0,0,0,1,0,98.0,0.0,100.0,0.0,0,2. Power Seller,"1. 10,000+"
1518851895,Stationery Japan,海外,4.995105743408203,97.0,7923,709,2602,631,0,0,false,true,100.0,2. 1-6 hours,1,898.0,11.0,0.0,0,0,0,0,1,0,21.0,0.0,100.0,0.0,0,3. Established,3. 100-999
1519128501,Seola.studio ,桃園市蘆竹區,4.943548202514648,64.0,7115,65,886,126,1,0,false,false,99.21,2. 1-6 hours,1,329.0,40.0,0.0,0,0,0,0,1,0,7.0,0.0,100.0,0.0,0,3. Established,4. < 100
